date,Open,High,Low,Close,Volume,Currency,ticker
2023-01-03 00:00:00+00:00,1831.8,1856.6,1831.3,1846.1,198354,USD,Gold
2023-01-04 00:00:00+00:00,1845.2,1871.3,1842.0,1859.0,188603,USD,Gold
2023-01-05 00:00:00+00:00,1861.2,1864.3,1829.9,1840.6,215367,USD,Gold
2023-01-09 00:00:00+00:00,1872.8,1886.4,1869.3,1877.8,170514,USD,Gold
2023-01-10 00:00:00+00:00,1875.7,1885.2,1872.0,1876.5,222250,USD,Gold
2023-01-11 00:00:00+00:00,1881.3,1890.9,1870.9,1878.9,265174,USD,Gold
2023-01-12 00:00:00+00:00,1879.7,1906.5,1872.4,1898.8,247878,USD,Gold
2023-01-17 00:00:00+00:00,1923.8,1931.8,1906.2,1909.9,218967,USD,Gold
2023-01-18 00:00:00+00:00,1911.1,1929.8,1898.6,1907.0,214246,USD,Gold
2023-01-19 00:00:00+00:00,1907.0,1936.9,1902.0,1923.9,165272,USD,Gold
2023-01-23 00:00:00+00:00,1928.4,1936.7,1912.5,1928.6,201713,USD,Gold
2023-01-24 00:00:00+00:00,1932.0,1943.8,1918.2,1935.4,190302,USD,Gold
2023-01-25 00:00:00+00:00,1938.7,1949.5,1920.6,1942.6,223255,USD,Gold
2023-01-26 00:00:00+00:00,1948.0,1949.8,1918.4,1930.0,150902,USD,Gold
2023-01-30 00:00:00+00:00,1936.2,1940.8,1927.3,1930.2,194077,USD,Gold
2023-01-31 00:00:00+00:00,1929.5,1938.0,1907.4,1936.6,210613,USD,Gold
2023-02-01 00:00:00+00:00,1935.1,1961.7,1928.0,1934.3,259844,USD,Gold
2023-02-02 00:00:00+00:00,1959.3,1966.3,1917.1,1922.2,310612,USD,Gold
2023-02-06 00:00:00+00:00,1866.7,1885.4,1865.9,1871.2,179673,USD,Gold
2023-02-07 00:00:00+00:00,1871.9,1888.5,1869.4,1876.5,131904,USD,Gold
2023-02-08 00:00:00+00:00,1877.4,1890.0,1874.0,1882.2,183551,USD,Gold
2023-02-09 00:00:00+00:00,1879.0,1893.7,1862.0,1870.0,155270,USD,Gold
2023-02-13 00:00:00+00:00,1866.7,1868.5,1852.7,1855.1,217012,USD,Gold
2023-02-14 00:00:00+00:00,1856.0,1871.0,1845.0,1857.0,169531,USD,Gold
2023-02-15 00:00:00+00:00,1856.3,1861.7,1831.8,1837.0,168509,USD,Gold
2023-02-16 00:00:00+00:00,1838.9,1846.0,1828.3,1843.4,165081,USD,Gold
2023-02-21 00:00:00+00:00,1842.0,1848.0,1831.1,1834.2,141500,USD,Gold
2023-02-22 00:00:00+00:00,1837.0,1846.4,1825.1,1833.3,179972,USD,Gold
2023-02-23 00:00:00+00:00,1823.6,1832.7,1818.3,1818.8,169473,USD,Gold
2023-02-27 00:00:00+00:00,1818.0,1827.3,1812.0,1824.9,184507,USD,Gold
2023-02-28 00:00:00+00:00,1823.9,1838.6,1810.8,1836.7,182583,USD,Gold
2023-03-01 00:00:00+00:00,1834.0,1852.5,1829.6,1845.4,139755,USD,Gold
2023-03-02 00:00:00+00:00,1843.8,1845.3,1835.9,1840.5,158961,USD,Gold
2023-03-06 00:00:00+00:00,1861.0,1864.3,1850.6,1854.6,248226,USD,Gold
2023-03-07 00:00:00+00:00,1852.6,1856.9,1817.1,1820.0,208292,USD,Gold
2023-03-08 00:00:00+00:00,1818.0,1828.7,1813.4,1818.6,228473,USD,Gold
2023-03-09 00:00:00+00:00,1818.0,1839.4,1815.4,1834.6,345814,USD,Gold
2023-03-13 00:00:00+00:00,1877.1,1919.5,1875.7,1916.5,261275,USD,Gold
2023-03-14 00:00:00+00:00,1919.4,1919.4,1899.8,1910.9,385454,USD,Gold
2023-03-15 00:00:00+00:00,1908.2,1942.5,1889.5,1931.3,248084,USD,Gold
2023-03-16 00:00:00+00:00,1922.8,1938.0,1911.5,1923.0,351092,USD,Gold
2023-03-20 00:00:00+00:00,1989.7,2014.9,1970.0,1982.8,248934,USD,Gold
2023-03-21 00:00:00+00:00,1983.1,1988.7,1938.6,1941.1,245031,USD,Gold
2023-03-22 00:00:00+00:00,1943.5,1982.3,1936.5,1949.6,262247,USD,Gold
2023-03-23 00:00:00+00:00,1974.0,2006.1,1967.3,1995.9,285442,USD,Gold
2023-03-27 00:00:00+00:00,1982.6,1984.0,1945.0,1953.8,183582,USD,Gold
