timestamp,company,storage_type,storage_location,address_region,culture_ua,price,category_name
2025-12-29 13:03:13,Нібулон,Порт,Кременчуцький термінал - Нібулон,"Полтавская, Кременчугский",Ячмінь,8 500,Barley
2025-12-29 13:03:13,Нібулон,Порт,Вітовський елеватор - Нібулон,"Черкасская, Чигиринский",Ячмінь,8 550,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Тетерівський елеватор,"Житомирская, Чудновский",Ячмінь,8 450,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Тернівський термінал - Нібулон,"Запорожская, Вольнянский",Ячмінь,8 400,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Переяславська філія - Нібулон,"Киевская, Переяслав-Хмельницкий",Ячмінь,8 300,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Вознесенська філія - Нібулон,"Николаевская, Вознесенский",Ячмінь,9 200,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Врадіївський агрокомбінат,"Николаевская, Врадиевский",Ячмінь,9 150,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Новоодеська філія Нібулон,"Николаевская, Новоодесский",Ячмінь,9 250,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Глобинський філіал - Нібулон,"Полтавская, Глобинский",Ячмінь,8 500,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Мар'янівський елеватор,"Полтавская, Гребенковський",Ячмінь,8 300,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Решетилівський елеватор,"Полтавская, Кобеляцкий",Ячмінь,8 300,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Градізька філія - Нібулон,"Полтавская, Кременчугский",Ячмінь,8 500,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Кременчуцький термінал - Нібулон,"Полтавская, Кременчугский",Ячмінь,8 500,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Філія Ромодан Нібулона,"Полтавская, Миргородский",Ячмінь,8 300,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Скороходівська філія,"Полтавская, Чутовский",Ячмінь,8 350,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Золотоніська філія - Нібулон,"Черкасская, Золотоношский",Ячмінь,8 350,Barley
2025-12-29 13:03:13,Нібулон,Елеватор,Вітовський елеватор - Нібулон,"Черкасская, Чигиринский",Ячмінь,8 550,Barley
2025-12-29 13:03:13,Нібулон,Порт,Миколаївський термінал - Нібулон,"Николаевская, Николаевский",Кукурудза,10 100,Corn
2025-12-29 13:03:13,Нібулон,Елеватор,Тернівський термінал - Нібулон,"Запорожская, Вольнянский",Кукурудза,9 100,Corn
2025-12-29 13:03:13,Нібулон,Елеватор,Вознесенська філія - Нібулон,"Николаевская, Вознесенский",Кукурудза,10 000,Corn
2025-12-29 13:03:13,Нібулон,Елеватор,Врадіївський агрокомбінат,"Николаевская, Врадиевский",Кукурудза,9 950,Corn
2025-12-29 13:03:13,Нібулон,Елеватор,Новоодеська філія Нібулон,"Николаевская, Новоодесский",Кукурудза,10 050,Corn
2025-12-29 13:03:13,Нібулон,Порт,Миколаївський термінал - Нібулон,"Николаевская, Николаевский",Соя,9 350,Soybeans
2025-12-29 13:03:13,Нібулон,Порт,Транссервіс 2008,"Одесская, Овидиопольский",Соя,9 700,Soybeans
2025-12-29 13:03:13,Нібулон,Порт,Кременчуцький термінал - Нібулон,"Полтавская, Кременчугский",Соя,8 350,Soybeans
2025-12-29 13:03:13,Нібулон,Порт,Вітовський елеватор - Нібулон,"Черкасская, Чигиринский",Соя,8 550,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Хмільник елеватор,"Винницкая, Хмельницкий",Соя,8 300,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Тетерівський елеватор,"Житомирская, Чудновский",Соя,8 250,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Тернівський термінал - Нібулон,"Запорожская, Вольнянский",Соя,8 500,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Переяславська філія - Нібулон,"Киевская, Переяслав-Хмельницкий",Соя,8 250,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Деніхівський елеватор,"Киевская, Тетиевский",Соя,8 550,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Вознесенська філія - Нібулон,"Николаевская, Вознесенский",Соя,9 300,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Врадіївський агрокомбінат,"Николаевская, Врадиевский",Соя,9 200,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Новоодеська філія Нібулон,"Николаевская, Новоодесский",Соя,9 350,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Глобинський філіал - Нібулон,"Полтавская, Глобинский",Соя,8 350,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Мар'янівський елеватор,"Полтавская, Гребенковський",Соя,8 230,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Решетилівський елеватор,"Полтавская, Кобеляцкий",Соя,8 230,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Градізька філія - Нібулон,"Полтавская, Кременчугский",Соя,8 350,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Кременчуцький термінал - Нібулон,"Полтавская, Кременчугский",Соя,8 350,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Філія Ромодан Нібулона,"Полтавская, Миргородский",Соя,8 230,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Скороходівська філія,"Полтавская, Чутовский",Соя,8 250,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Смотрич Філія - Нібулон,"Хмельницкая, Камянец-Подольский",Соя,8 400,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Золотоніська філія - Нібулон,"Черкасская, Золотоношский",Соя,8 350,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Вітовський елеватор - Нібулон,"Черкасская, Чигиринский",Соя,8 550,Soybeans
2025-12-29 13:03:13,Нібулон,Елеватор,Переяславська філія - Нібулон,"Киевская, Переяслав-Хмельницкий",Пшениця некондиція,17 600,Пшениця некондиція
2025-12-29 13:03:13,Нібулон,Елеватор,Деніхівський елеватор,"Киевская, Тетиевский",Пшениця некондиція,17 500,Пшениця некондиція
2025-12-29 13:03:13,Нібулон,Елеватор,Глобинський філіал - Нібулон,"Полтавская, Глобинский",Пшениця некондиція,17 900,Пшениця некондиція
2025-12-29 13:03:13,Нібулон,Елеватор,Мар'янівський елеватор,"Полтавская, Гребенковський",Пшениця некондиція,17 650,Пшениця некондиція
2025-12-29 13:03:13,Нібулон,Елеватор,Градізька філія - Нібулон,"Полтавская, Кременчугский",Пшениця некондиція,17 900,Пшениця некондиція
2025-12-29 13:03:13,Нібулон,Елеватор,Кременчуцький термінал - Нібулон,"Полтавская, Кременчугский",Пшениця некондиція,17 800,Пшениця некондиція
2025-12-29 13:03:13,Нібулон,Елеватор,Філія Ромодан Нібулона,"Полтавская, Миргородский",Пшениця некондиція,17 650,Пшениця некондиція
